city,country,latitude,longitude,month,year,text,message,messagetokens,text_string,text_string_fdist,text_string_lem,is_equal,emotion,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
London,England,51.54108238,-0.18526678,,1929,"She is an Armenian who had lived for six years in England, she is tall, nice, full of charm. ","she is an armenian who had lived for six years in england, she is tall, nice, full of charm. ","['armenian', 'lived', 'six', 'years', 'england', 'tall', 'nice', 'full', 'charm']",armenian lived years england tall nice full charm,armenian lived years england tall nice full,armenian lived years england tall nice full,TRUE,No Emotion Detected,0,0,0,0,0,1,0,0,0,0,
London,England,51.52135956,-0.131976896,,1929,I went for six months to the London School of Tropical Medicine.,i went for six months to the london school of tropical medicine.,"['went', 'six', 'months', 'london', 'school', 'tropical', 'medicine']",went months london school tropical medicine,went months london school medicine,went months london school medicine,TRUE,trust,0,0,0,1,0,0,0,0,0,0,
Paris,France,48.85837362,2.34634587,,1923,"   In 1923 I could not get admitted to the Mayo Clinic, instead the American University of Beirut arranged for me to spend six months in Europe, mostly in France and in England. There (in France) I was very eager to attend the lectures in different hospitals which were called “cour de profectionment” [check spelling, cannot find profetionment in La Rousse] and I have been in contact with noted professors of medicine at the time, like Vidal Babinsky and his students.  ","   in 1923 i could not get admitted to the mayo clinic, instead the american university of beirut arranged for me to spend six months in europe, mostly in france and in england. there (in france) i was very eager to attend the lectures in different hospitals which were called “cour de profectionment” [check spelling, cannot find profetionment in la rousse] and i have been in contact with noted professors of medicine at the time, like vidal babinsky and his students.  ","['1923', 'could', 'get', 'admitted', 'mayo', 'clinic', 'instead', 'american', 'university', 'beirut', 'arranged', 'spend', 'six', 'months', 'europe', 'mostly', 'france', 'england', 'france', 'eager', 'attend', 'lectures', 'different', 'hospitals', 'called', 'cour', 'de', 'profectionment', 'check', 'spelling', 'cannot', 'find', 'profetionment', 'la', 'rousse', 'contact', 'noted', 'professors', 'medicine', 'time', 'like', 'vidal', 'babinsky', 'students']",1923 could admitted mayo clinic instead american university beirut arranged spend months europe mostly france england france eager attend lectures different hospitals called cour profectionment check spelling cannot find profetionment rousse contact noted professors medicine time like vidal babinsky students,1923 could admitted clinic instead american university beirut arranged spend months europe mostly france england france attend different hospitals called check find contact medicine time like students,1923 could admitted clinic instead american university beirut arranged spend months europe mostly france england france attend different hospitals called check find contact medicine time like students,TRUE,anticipation,0,0,0,0.090909091,0.090909091,0.45454545454545453,0,0,0,0.090909091,0.2727272727272727
Istanbul,Turkey,41.01049957,28.9685605,,1854,"        Hagop (Agop) Agha Goggian was a handsome and eligible bachelor at the time, as was Hovannes Agha Kurkjianoff, also a merchant of Agen.  Hagop (Agop) Agha married Misak Amira’s daughter Zoumrout, and Kurkjianoff married Mariam, who was literate.  Business prospered in Istanbul, so around 1850 Hagop (Agop) Agha and his immediate family moved there [to Istanbul] from Agen. They lived in a very fine house and started being known as the Yeni Komshians. It was only Hagop (Agop) Agha’s line of the family that was given the name Yeni Komshian, the rest remained Goggigian (Yeni Komshian mean New Neighbour).         Things were good in Istanbul until 1854 when the Turko-Russian war broke out.  During that war, as they were merchants, Hagop (Agop) Agha’s family suffered a lot and lost much.  At that time the Ottomans used to sell provinces (vilayet) in their empire to governors.  The governors were in charge of collecting taxes for their Ottoman rulers.  Each vilayet had to have two governors, one Christian and one Muslim.
","        hagop (agop) agha goggian was a handsome and eligible bachelor at the time, as was hovannes agha kurkjianoff, also a merchant of agen.  hagop (agop) agha married misak amira’s daughter zoumrout, and kurkjianoff married mariam, who was literate.  business prospered in istanbul, so around 1850 hagop (agop) agha and his immediate family moved there [to istanbul] from agen. they lived in a very fine house and started being known as the yeni komshians. it was only hagop (agop) agha’s line of the family that was given the name yeni komshian, the rest remained goggigian (yeni komshian mean new neighbour).         things were good in istanbul until 1854 when the turko-russian war broke out.  during that war, as they were merchants, hagop (agop) agha’s family suffered a lot and lost much.  at that time the ottomans used to sell provinces (vilayet) in their empire to governors.  the governors were in charge of collecting taxes for their ottoman rulers.  each vilayet had to have two governors, one christian and one muslim.
","['hagop', 'agop', 'agha', 'goggian', 'handsome', 'eligible', 'bachelor', 'time', 'hovannes', 'agha', 'kurkjianoff', 'also', 'merchant', 'agen', 'hagop', 'agop', 'agha', 'married', 'misak', 'amira', 'daughter', 'zoumrout', 'kurkjianoff', 'married', 'mariam', 'literate', 'business', 'prospered', 'istanbul', 'around', '1850', 'hagop', 'agop', 'agha', 'immediate', 'family', 'moved', 'istanbul', 'agen', 'lived', 'fine', 'house', 'started', 'known', 'yeni', 'komshians', 'hagop', 'agop', 'agha', 'line', 'family', 'given', 'name', 'yeni', 'komshian', 'rest', 'remained', 'goggigian', 'yeni', 'komshian', 'mean', 'new', 'neighbour', 'things', 'good', 'istanbul', '1854', 'turko', 'russian', 'war', 'broke', 'war', 'merchants', 'hagop', 'agop', 'agha', 'family', 'suffered', 'lot', 'lost', 'much', 'time', 'ottomans', 'used', 'sell', 'provinces', 'vilayet', 'empire', 'governors', 'governors', 'charge', 'collecting', 'taxes', 'ottoman', 'rulers', 'vilayet', 'two', 'governors', 'one', 'christian', 'one', 'muslim']",hagop agop agha goggian handsome eligible bachelor time hovannes agha kurkjianoff also merchant agen hagop agop agha married misak amira daughter zoumrout kurkjianoff married mariam literate business prospered istanbul around 1850 hagop agop agha immediate family moved istanbul agen lived fine house started known yeni komshians hagop agop agha line family given name yeni komshian rest remained goggigian yeni komshian mean neighbour things good istanbul 1854 turko russian broke merchants hagop agop agha family suffered lost much time ottomans used sell provinces vilayet empire governors governors charge collecting taxes ottoman rulers vilayet governors christian muslim,hagop agop agha handsome bachelor time hovannes agha kurkjianoff also merchant agen hagop agop agha married misak amira daughter zoumrout kurkjianoff married mariam business prospered istanbul around 1850 hagop agop agha immediate family moved istanbul agen lived fine house started known yeni hagop agop agha line family given name yeni komshian rest remained goggigian yeni komshian mean things good istanbul russian merchants hagop agop agha family suffered lost much time ottomans used sell provinces vilayet empire governors governors charge collecting ottoman rulers vilayet governors christian muslim,hagop agop agha handsome bachelor time hovannes agha kurkjianoff also merchant agen hagop agop agha married misak amira daughter zoumrout kurkjianoff married mariam business prospered istanbul around 1850 hagop agop agha immediate family moved istanbul agen lived fine house started known yeni hagop agop agha line family given name yeni komshian rest remained goggigian yeni komshian mean things good istanbul russian merchants hagop agop agha family suffered lost much time ottomans used sell provinces vilayet empire governors governors charge collecting ottoman rulers vilayet governors christian muslim,TRUE,anticipation,0.14285714285714285,0,0,0.095238095,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.095238095,0,0.095238095,0.14285714285714285
Istanbul,Turkey,41.01049957,28.9685605,,1908,"        During this period many people were killed by order of the Ottoman Sultan Hamid and the general population was very dissatisfied with his rule.  In 1908-1909 the Ottoman army went to Istanbul, attached Sulatn Hamid and dethroned him. He was succeeded by Sultan Rashid. In 1908 Hurriyet (freedom or liberty) was declared and the younger turks (Young Turks?) wanted equality for all and did not want Moslems to be treated preferentially. [check history books on this topic]","        during this period many people were killed by order of the ottoman sultan hamid and the general population was very dissatisfied with his rule.  in 1908-1909 the ottoman army went to istanbul, attached sulatn hamid and dethroned him. he was succeeded by sultan rashid. in 1908 hurriyet (freedom or liberty) was declared and the younger turks (young turks?) wanted equality for all and did not want moslems to be treated preferentially. [check history books on this topic]","['period', 'many', 'people', 'killed', 'order', 'ottoman', 'sultan', 'hamid', 'general', 'population', 'dissatisfied', 'rule', '1908', '1909', 'ottoman', 'army', 'went', 'istanbul', 'attached', 'sulatn', 'hamid', 'dethroned', 'succeeded', 'sultan', 'rashid', '1908', 'hurriyet', 'freedom', 'liberty', 'declared', 'younger', 'turks', 'young', 'turks', 'wanted', 'equality', 'want', 'moslems', 'treated', 'preferentially', 'check', 'history', 'books', 'topic']",period many people killed order ottoman sultan hamid general population dissatisfied rule 1908 1909 ottoman army went istanbul attached sulatn hamid dethroned succeeded sultan rashid 1908 hurriyet freedom liberty declared younger turks young turks wanted equality want moslems treated preferentially check history books topic,period many people killed order ottoman sultan hamid general population 1908 ottoman army went istanbul attached hamid succeeded sultan 1908 freedom liberty declared younger turks young turks wanted want moslems treated check history topic,period many people killed order ottoman sultan hamid general population 1908 ottoman army went istanbul attached hamid succeeded sultan 1908 freedom liberty declared younger turks young turks wanted want moslems treated check history topic,TRUE,trust,0.13043478260869565,0,0,0.21739130434782608,0.086956522,0.30434782608695654,0,0,0,0.17391304347826086,0.086956522
Istanbul,Turkey,41.01049957,28.9685605,,1852,"
        Around 1852, the Ottoman Empire extended over the countries of the Middle East and part of the northern coast of Africa.  At that time, Armenians were not discriminated against specifically.  Many lived and flourished in Constantinople, the capital, which at present is Istanbul.  Among the Armenians there was a prominent group of personalities called Amiras, this title was probably derived from the Arabic word “amir” meaning ruler.  The Amiras were very outstanding people who held important positions; they were involved in large government contracts and served as counselors to the rulers of the period.
","
        around 1852, the ottoman empire extended over the countries of the middle east and part of the northern coast of africa.  at that time, armenians were not discriminated against specifically.  many lived and flourished in constantinople, the capital, which at present is istanbul.  among the armenians there was a prominent group of personalities called amiras, this title was probably derived from the arabic word “amir” meaning ruler.  the amiras were very outstanding people who held important positions; they were involved in large government contracts and served as counselors to the rulers of the period.
","['around', '1852', 'ottoman', 'empire', 'extended', 'countries', 'middle', 'east', 'part', 'northern', 'coast', 'africa', 'time', 'armenians', 'discriminated', 'specifically', 'many', 'lived', 'flourished', 'constantinople', 'capital', 'present', 'istanbul', 'among', 'armenians', 'prominent', 'group', 'personalities', 'called', 'amiras', 'title', 'probably', 'derived', 'arabic', 'word', 'amir', 'meaning', 'ruler', 'amiras', 'outstanding', 'people', 'held', 'important', 'positions', 'involved', 'large', 'government', 'contracts', 'served', 'counselors', 'rulers', 'period']",around 1852 ottoman empire extended countries middle east part northern coast africa time armenians discriminated specifically many lived flourished constantinople capital present istanbul among armenians prominent group personalities called amiras title probably derived arabic word amir meaning ruler amiras outstanding people held important positions involved large government contracts served counselors rulers period,around ottoman empire extended countries middle east part northern time armenians specifically many lived flourished constantinople capital present istanbul among armenians prominent group called amiras probably derived arabic word amir meaning amiras people important positions involved large government contracts served rulers period,around ottoman empire extended countries middle east part northern time armenians specifically many lived flourished constantinople capital present istanbul among armenians prominent group called amiras probably derived arabic word amir meaning amiras people important positions involved large government contracts served rulers period,TRUE,trust,0.055555556,0,0,0.2222222222222222,0.055555556,0.3333333333333333,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111
Istanbul,Turkey,41.01049957,28.9685605,April,1915,"She was very outspoken and had a sharp tongue.  Her great sorrow resulted from the execution of her second son, Hagop, who was hanged in Constantinople on April 24, 1915.","she was very outspoken and had a sharp tongue.  her great sorrow resulted from the execution of her second son, hagop, who was hanged in constantinople on april 24, 1915.","['outspoken', 'sharp', 'tongue', 'great', 'sorrow', 'resulted', 'execution', 'second', 'son', 'hagop', 'hanged', 'constantinople', 'april', '24', '1915']",outspoken sharp tongue great sorrow resulted execution second hagop hanged constantinople april 1915,great second hagop constantinople april 1915,great second hagop constantinople april 1915,TRUE,fear,0.25,0.125,0,0.125,0,0,0.25,0.25,0,0,
Istanbul,Turkey,41.01049957,28.9685605,,1895,"While in Kilis, most of us spoke Turkish.??? Armenian it visit and we learned Armenian in the school and every generation when they wrote anything they wrote Turkish words in Armenian letters.  It was a very common undertaking by the young of the provinces who were ambitious to go to Istanbul (Constantinople), the capital of the Ottoman Empire, where many of them secured for themselves not only wealth but important positions.  My father's father, Agop (Hagop) Agha, also went to Istanbul ","while in kilis, most of us spoke turkish.??? armenian it visit and we learned armenian in the school and every generation when they wrote anything they wrote turkish words in armenian letters.  it was a very common undertaking by the young of the provinces who were ambitious to go to istanbul (constantinople), the capital of the ottoman empire, where many of them secured for themselves not only wealth but important positions.  my father's father, agop (hagop) agha, also went to istanbul ","['kilis', 'us', 'spoke', 'turkish', 'armenian', 'visit', 'learned', 'armenian', 'school', 'every', 'generation', 'wrote', 'anything', 'wrote', 'turkish', 'words', 'armenian', 'letters', 'common', 'undertaking', 'young', 'provinces', 'ambitious', 'go', 'istanbul', 'constantinople', 'capital', 'ottoman', 'empire', 'many', 'secured', 'wealth', 'important', 'positions', 'father', 'father', 'agop', 'hagop', 'agha', 'also', 'went', 'istanbul']",kilis spoke turkish armenian visit learned armenian school every generation wrote anything wrote turkish words armenian letters common undertaking young provinces ambitious istanbul constantinople capital ottoman empire many secured wealth important positions father father agop hagop agha also went istanbul,kilis spoke turkish armenian visit learned armenian school every generation wrote anything wrote turkish words armenian letters common young provinces istanbul constantinople capital ottoman empire many secured important positions father father agop hagop agha also went istanbul,kilis spoke turkish armenian visit learned armenian school every generation wrote anything wrote turkish words armenian letters common young provinces istanbul constantinople capital ottoman empire many secured important positions father father agop hagop agha also went istanbul,TRUE,trust,0,0.058823529411764705,0,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.11764705882352941,0,0,0.11764705882352941,0.11764705882352941
New York City,United States,40.76361514,-73.97068554,,1955,"        Another phase of community work that I have taken part in is the Armenian Genral Benevolent Union (AGBU), especially in the relief committee of that organization.  Again that relief committee formation was established by the personal friendship of Mr. Mihran Karagheusian and President Bayard Dodge.  One day President Dodge asked to see him in his office. He told me that he had received a letter from Mr. Mihran Karagheusian of New York, who wrote to tell him that they are sending important sums of money to the central relief committee of AGBU  and they would like to have a man that President Dodge knows, who is also an Armenian, to join them to see how this distribution of funds is made and used. So President Bayard Dodge asked me if I was willing to be part of the relief committee.  I said: “I am a full time man of the school of medicine and you are the President.  If you permit me to give some of my time to the relief committee I will be very glad to.” So I went there and like any other committee there were people who belonged to different groups and they were trying to pull things toward their side.  I am a man who has no prejudice against anybody.  I want to do the work that is entrusted to me with fairness to all concerned.  So we had the committee and added new members and they elected me the President of the committee.  And we worked very hard for four years to administer the relief.  We tried to put emphasis on preventive medicine; if you can keep people healthy by preventive medicine, good people ordinarily will regain their liveliness [livelihood]. ??? With a little help they can put themselves on their feet.   The Armenian General Benevolent Union, AGBU, is a union of Armenians spread all over the world. Before the second world war they had their headquarters in Switzerland or Paris, but now it is in New York City.  The founder was Boghos Nubar Pasha, the son of the famous Nubar Pasha of Egypt.  At the time Mr. Mihran Karagheusian was the treasurer of AGBU.  This is an organization which has an important amount of capital. Money keeps on coming every year from donations and they want to be sure that it is being spent properly. Most of their work is contribution to schools.  They reach also to emergencies, emergencies of displaced people and that is how the move of the Mousa Dagh Armenians to Ainjar started. 
","        another phase of community work that i have taken part in is the armenian genral benevolent union (agbu), especially in the relief committee of that organization.  again that relief committee formation was established by the personal friendship of mr. mihran karagheusian and president bayard dodge.  one day president dodge asked to see him in his office. he told me that he had received a letter from mr. mihran karagheusian of new york, who wrote to tell him that they are sending important sums of money to the central relief committee of agbu  and they would like to have a man that president dodge knows, who is also an armenian, to join them to see how this distribution of funds is made and used. so president bayard dodge asked me if i was willing to be part of the relief committee.  i said: “i am a full time man of the school of medicine and you are the president.  if you permit me to give some of my time to the relief committee i will be very glad to.” so i went there and like any other committee there were people who belonged to different groups and they were trying to pull things toward their side.  i am a man who has no prejudice against anybody.  i want to do the work that is entrusted to me with fairness to all concerned.  so we had the committee and added new members and they elected me the president of the committee.  and we worked very hard for four years to administer the relief.  we tried to put emphasis on preventive medicine; if you can keep people healthy by preventive medicine, good people ordinarily will regain their liveliness [livelihood]. ??? with a little help they can put themselves on their feet.   the armenian general benevolent union, agbu, is a union of armenians spread all over the world. before the second world war they had their headquarters in switzerland or paris, but now it is in new york city.  the founder was boghos nubar pasha, the son of the famous nubar pasha of egypt.  at the time mr. mihran karagheusian was the treasurer of agbu.  this is an organization which has an important amount of capital. money keeps on coming every year from donations and they want to be sure that it is being spent properly. most of their work is contribution to schools.  they reach also to emergencies, emergencies of displaced people and that is how the move of the mousa dagh armenians to ainjar started. 
","['another', 'phase', 'community', 'work', 'taken', 'part', 'armenian', 'genral', 'benevolent', 'union', 'agbu', 'especially', 'relief', 'committee', 'organization', 'relief', 'committee', 'formation', 'established', 'personal', 'friendship', 'mr', 'mihran', 'karagheusian', 'president', 'bayard', 'dodge', 'one', 'day', 'president', 'dodge', 'asked', 'see', 'office', 'told', 'received', 'letter', 'mr', 'mihran', 'karagheusian', 'new', 'york', 'wrote', 'tell', 'sending', 'important', 'sums', 'money', 'central', 'relief', 'committee', 'agbu', 'would', 'like', 'man', 'president', 'dodge', 'knows', 'also', 'armenian', 'join', 'see', 'distribution', 'funds', 'made', 'used', 'president', 'bayard', 'dodge', 'asked', 'willing', 'part', 'relief', 'committee', 'said', 'full', 'time', 'man', 'school', 'medicine', 'president', 'permit', 'give', 'time', 'relief', 'committee', 'glad', 'went', 'like', 'committee', 'people', 'belonged', 'different', 'groups', 'trying', 'pull', 'things', 'toward', 'side', 'man', 'prejudice', 'anybody', 'want', 'work', 'entrusted', 'fairness', 'concerned', 'committee', 'added', 'new', 'members', 'elected', 'president', 'committee', 'worked', 'hard', 'four', 'years', 'administer', 'relief', 'tried', 'put', 'emphasis', 'preventive', 'medicine', 'keep', 'people', 'healthy', 'preventive', 'medicine', 'good', 'people', 'ordinarily', 'regain', 'liveliness', 'livelihood', 'little', 'help', 'put', 'feet', 'armenian', 'general', 'benevolent', 'union', 'agbu', 'union', 'armenians', 'spread', 'world', 'second', 'world', 'war', 'headquarters', 'switzerland', 'paris', 'new', 'york', 'city', 'founder', 'boghos', 'nubar', 'pasha', 'son', 'famous', 'nubar', 'pasha', 'egypt', 'time', 'mr', 'mihran', 'karagheusian', 'treasurer', 'agbu', 'organization', 'important', 'amount', 'capital', 'money', 'keeps', 'coming', 'every', 'year', 'donations', 'want', 'sure', 'spent', 'properly', 'work', 'contribution', 'schools', 'reach', 'also', 'emergencies', 'emergencies', 'displaced', 'people', 'move', 'mousa', 'dagh', 'armenians', 'ainjar', 'started']",another phase community work taken part armenian genral benevolent union agbu especially relief committee organization relief committee formation established personal friendship mihran karagheusian president bayard dodge president dodge asked office told received letter mihran karagheusian york wrote tell sending important sums money central relief committee agbu would like president dodge knows also armenian join distribution funds made used president bayard dodge asked willing part relief committee said full time school medicine president permit give time relief committee glad went like committee people belonged different groups trying pull things toward side prejudice anybody want work entrusted fairness concerned committee added members elected president committee worked hard four years administer relief tried emphasis preventive medicine keep people healthy preventive medicine good people ordinarily regain liveliness livelihood little help feet armenian general benevolent union agbu union armenians spread world second world headquarters switzerland paris york city founder boghos nubar pasha famous nubar pasha egypt time mihran karagheusian treasurer agbu organization important amount capital money keeps coming every year donations want sure spent properly work contribution schools reach also emergencies emergencies displaced people move mousa dagh armenians ainjar started,another community work taken part armenian benevolent union agbu especially relief committee organization relief committee established personal friendship mihran karagheusian president bayard dodge president dodge asked office told received letter mihran karagheusian york wrote tell sending important money central relief committee agbu would like president dodge knows also armenian join funds made used president bayard dodge asked willing part relief committee said full time school medicine president permit give time relief committee glad went like committee people different groups trying things side anybody want work entrusted concerned committee added members elected president committee worked hard four years relief tried emphasis preventive medicine keep people healthy preventive medicine good people regain livelihood little help armenian general benevolent union agbu union armenians spread world second world headquarters york city boghos nubar pasha famous nubar pasha egypt time mihran karagheusian agbu organization important amount capital money keeps coming every year want sure spent work contribution schools reach also emergencies emergencies displaced people move mousa dagh armenians ainjar started,another community work taken part armenian benevolent union agbu especially relief committee organization relief committee established personal friendship mihran karagheusian president bayard dodge president dodge asked office told received letter mihran karagheusian york wrote tell sending important money central relief committee agbu would like president dodge knows also armenian join funds made used president bayard dodge asked willing part relief committee said full time school medicine president permit give time relief committee glad went like committee people different groups trying things side anybody want work entrusted concerned committee added members elected president committee worked hard four years relief tried emphasis preventive medicine keep people healthy preventive medicine good people regain livelihood little help armenian general benevolent union agbu union armenians spread world second world headquarters york city boghos nubar pasha famous nubar pasha egypt time mihran karagheusian agbu organization important amount capital money keeps coming every year want sure spent work contribution schools reach also emergencies emergencies displaced people move mousa dagh armenians ainjar started,TRUE,trust,0.031914893617021274,0.042553191,0,0.2765957446808511,0.053191489,0.3191489361702128,0.053191489,0.021276596,0,0.085106383,0.11702127659574468
New York City,United States,40.76361514,-73.97068554,,1977,"        Mr. Mihran Karagheusian and President Bayard Dodge were in Roberts College in Istanbul, so they knew each other for a long time and collaborated in their philanthropic work. 
        The Karagheusian clinic is an independent clinic and doesn’t solicit aid from the public. In fact last year (1977) when we were in New York, Miss Leila Karagheusian invited us to attend one of the meetings of the Howard Karagheusian Child Welfare work.  One of the members, when he heard from me and the type of work we were doing, which I called exemplary [illustrative], they told us that we were doing such good work, fundamental work, that it can be done by other communities.  I was saying that one of the members said if you are doing so much work, why don’t we advertise and tell the people what we are doing? Maybe then more people will contribute. Miss Karagheusian did no agree with that. She said that we would have to answer lots of letters; thus we don’t want any contributions.  There is a fund which is specifically for our work and we do our big work according to our income.  But unfortunately due to the decline in the price of shares and the decline in the value of the dollar, I’m afraid they are having difficulties. ","        mr. mihran karagheusian and president bayard dodge were in roberts college in istanbul, so they knew each other for a long time and collaborated in their philanthropic work. 
        the karagheusian clinic is an independent clinic and doesn’t solicit aid from the public. in fact last year (1977) when we were in new york, miss leila karagheusian invited us to attend one of the meetings of the howard karagheusian child welfare work.  one of the members, when he heard from me and the type of work we were doing, which i called exemplary [illustrative], they told us that we were doing such good work, fundamental work, that it can be done by other communities.  i was saying that one of the members said if you are doing so much work, why don’t we advertise and tell the people what we are doing? maybe then more people will contribute. miss karagheusian did no agree with that. she said that we would have to answer lots of letters; thus we don’t want any contributions.  there is a fund which is specifically for our work and we do our big work according to our income.  but unfortunately due to the decline in the price of shares and the decline in the value of the dollar, i’m afraid they are having difficulties. ","['mr', 'mihran', 'karagheusian', 'president', 'bayard', 'dodge', 'roberts', 'college', 'istanbul', 'knew', 'long', 'time', 'collaborated', 'philanthropic', 'work', 'karagheusian', 'clinic', 'independent', 'clinic', 'solicit', 'aid', 'public', 'fact', 'last', 'year', '1977', 'new', 'york', 'miss', 'leila', 'karagheusian', 'invited', 'us', 'attend', 'one', 'meetings', 'howard', 'karagheusian', 'child', 'welfare', 'work', 'one', 'members', 'heard', 'type', 'work', 'called', 'exemplary', 'illustrative', 'told', 'us', 'good', 'work', 'fundamental', 'work', 'done', 'communities', 'saying', 'one', 'members', 'said', 'much', 'work', 'advertise', 'tell', 'people', 'maybe', 'people', 'contribute', 'miss', 'karagheusian', 'agree', 'said', 'would', 'answer', 'lots', 'letters', 'thus', 'want', 'contributions', 'fund', 'specifically', 'work', 'big', 'work', 'according', 'income', 'unfortunately', 'due', 'decline', 'price', 'shares', 'decline', 'value', 'dollar', 'afraid', 'difficulties']",mihran karagheusian president bayard dodge roberts college istanbul knew long time collaborated philanthropic work karagheusian clinic independent clinic solicit public fact last year 1977 york miss leila karagheusian invited attend meetings howard karagheusian child welfare work members heard type work called exemplary illustrative told good work fundamental work done communities saying members said much work advertise tell people maybe people contribute miss karagheusian agree said would answer lots letters thus want contributions fund specifically work work according income unfortunately decline price shares decline value dollar afraid difficulties,mihran karagheusian president bayard dodge college istanbul knew long time philanthropic work karagheusian clinic independent clinic public fact last year 1977 york miss leila karagheusian invited attend meetings howard karagheusian child welfare work members heard type work called told good work work done communities saying members said much work tell people maybe people miss karagheusian agree said would answer lots letters thus want contributions fund specifically work work according income unfortunately decline decline value dollar afraid difficulties,mihran karagheusian president bayard dodge college istanbul knew long time philanthropic work karagheusian clinic independent clinic public fact last year 1977 york miss leila karagheusian invited attend meetings howard karagheusian child welfare work members heard type work called told good work work done communities saying members said much work tell people maybe people miss karagheusian agree said would answer lots letters thus want contributions fund specifically work work according income unfortunately decline decline value dollar afraid difficulties,TRUE,trust,0.026315789,0,0,0.21052631578947367,0.026315789,0.3157894736842105,0.13157894736842105,0.052631579,0,0.078947368,0.15789473684210525
