word,city,decade,frequency,latitude,longitude
accommodations,beirut,1910,2,33.15184935008447,35.418442104859466
accomplished,beirut,1970,3,34.31477940762042,36.53365454311058
accomplishments,beirut,1950,2,33.87305763669031,35.80608187747438
acquaintance,beirut,1920,2,33.549958883320585,35.45639316017288
advice,aub farm,1980,3,34.36338371567611,36.15659216515741
advice,beirut,1910,2,34.2814757,35.93661600623474
agha,beirut,1910,2,33.831312969369655,35.75110082453046
aintab,beirut,1910,3,33.57741092954849,35.55247418435284
aleppo,beirut,1920,4,33.56349157774104,35.622404696967465
aleppo,zahle,1910,2,33.43978553597168,35.75648560630073
alert,beirut,1970,2,33.50677158484702,35.39161383427782
alone,beirut,1920,2,33.87672387405194,36.00584883449202
america,antelias,1980,2,34.10096805548879,36.103454978982185
america,beirut,1940,3,33.828717232100715,35.50030077890346
american,beirut,1910,5,33.93452579315247,35.61626622930114
american,beirut,1930,2,33.64058565783905,35.526747524900756
american,beirut,1960,2,33.47276687886583,35.58754528698369
american,beirut,1970,2,33.714252234056275,35.80361979229442
among,beirut,1910,2,33.82642540783128,35.92360096858054
animosity,beirut,1930,3,33.79883335512543,35.747120532673755
annie,beirut,1940,2,34.221475288459594,35.92142266481034
antilias,antelias,1940,2,33.47525394483276,35.87826408189554
antilias,antelias,1980,2,34.10760269814299,36.16648960433426
appendix,beirut,1920,2,34.359556943973345,36.22283510132238
appointed,beirut,1910,2,34.390664958427976,35.85473584606135
arab,beirut,1930,3,34.17062926842513,36.477950162275974
armenia,antelias,1980,2,34.25002301437054,36.29433515881026
armenian,antelias,1980,3,34.418599398344185,36.345463144803354
armenian,azounieh,1920,3,33.36159704801558,35.684202415297605
armenian,azounieh,1930,5,34.05811676255544,36.03619079548154
armenian,beirut,1910,4,33.90844445964802,35.972815134241486
armenian,beirut,1920,2,34.12445830287971,36.48589581321842
armenian,beirut,1930,6,33.656330029001396,35.49074129
armenian,beirut,1940,4,33.892189572708176,35.63694700686333
armenian,beirut,1980,2,34.565792799480846,36.08957239403807
armenians,beirut,1910,6,33.451374671752994,35.493189821361966
armenians,beirut,1920,3,34.112800091608186,35.87343899762853
armenians,beirut,1930,14,33.85517535703484,35.67455142348471
armenians,beirut,1940,4,34.25603704274459,36.07171988757554
army,zahle,1910,4,33.300593824532875,35.78842775594894
askayin,beirut,1940,3,34.01205915842202,35.915912098612615
asking,beirut,1920,3,34.06884942422059,35.69220630736751
asking,beirut,1930,2,34.352704034207754,35.973916725346356
assistant,beirut,1910,2,34.340548225483154,35.90269789979527
aswad,beirut,1930,2,33.690980658580784,35.93077990429031
attack,beirut,1930,2,34.10002735972926,36.031391555070456
attended,beirut,1910,2,34.499679846146286,36.01764051552125
awad,beirut,1930,5,33.176804650790324,35.26200285198726
azounieh,azounieh,1920,3,33.35615158158112,35.846138030625035
baghdad,beirut,1980,2,33.55771949452072,35.65033441333976
bayard,antelias,1940,3,34.58992136815917,36.12047717889015
beautiful,beirut,1920,4,34.269762733717066,36.16161781
beautiful,beirut,1970,3,33.748487440340064,35.87401663128083
beauty,beirut,1920,2,33.867587147839345,35.53941709159233
befriended,beirut,1910,2,33.92984905991382,35.63858812045732
believe,beirut,1970,7,34.14187864895877,36.51370618332946
believe,beirut,1980,3,33.673458900128985,35.72009450206751
bishop,beirut,1930,6,34.34802103,36.48681137361795
bishops,beirut,1930,3,33.13804306343618,35.40641490806317
blessed,beirut,1980,3,33.34353600402402,35.747633013805114
blessings,beirut,1970,2,33.40659916685318,35.566800735484264
bliss,beirut,1910,2,34.30778440451145,36.03696214515655
blue,beirut,1910,4,34.46073499869439,36.45506758501492
born,beirut,1930,2,34.02517143649803,35.86650759418153
born,beirut,1940,2,33.77663452277662,35.94891879430979
born,beirut,1960,2,33.36762976301169,35.36037173886445
brother,antelias,1940,2,33.964920768840386,36.23699353858234
brother,beirut,1910,4,34.287755769502525,36.058886579542644
brother,beirut,1920,3,33.477733044753435,35.326506264856526
brother,beirut,1930,3,33.45805227674448,35.64762663825426
brothers,beirut,1920,2,34.05381876631122,36.06814134267929
build,azounieh,1920,2,34.212754990778684,35.72586799446134
built,beirut,1920,2,33.74638516565017,35.53884319479711
built,beirut,1980,3,33.34845275981619,35.27754805958665
burst,beirut,1920,2,34.25347018347239,36.24877333289599
calmet,jdeidah,1920,3,33.96282054,36.08308811577016
camps,beirut,1920,4,33.446780328561104,35.89429156481634
care,azounieh,1930,2,33.990922296399866,35.57397838174577
care,beirut,1920,3,34.43477496716034,35.871788956399676
carmen,beirut,1920,3,33.365337425973394,35.57671587
carriage,zahle,1910,2,34.321625173266966,36.41509904763838
case,beirut,1940,2,34.05014473736158,36.223552778708374
case,beirut,1980,2,33.57865527,35.841624129911025
cases,dhour el chouier,1940,2,33.66023640495543,35.49070178483657
catholicos,antelias,1940,2,33.70179154087628,35.68146151900655
catholicos,antelias,1970,4,34.552400646957544,36.452615500653735
catholicos,antelias,1980,5,34.4692412,35.957140444676064
catholicos,beirut,1940,2,34.27053632107369,36.352001833136725
catholicosate,antelias,1940,3,33.189921101197534,35.19506712605224
central,beirut,1940,3,34.22119313373143,36.11338761944794
changed,beirut,1920,2,33.81388280664776,35.90411077
changes,beirut,1970,2,34.162440455579535,36.07013503507806
chest,beirut,1930,3,33.78211918344101,35.959597489312884
children,beirut,1970,2,34.26888080672694,36.40864325998667
children,beirut,1980,7,33.557327284060335,35.490871021528825
church,antelias,1940,3,33.355599050775574,35.40877711409942
church,antelias,1980,4,33.67066499619455,35.77368593749069
church,beirut,1930,3,33.85076973550149,36.07695393282246
cilicia,beirut,1940,2,33.99820158671088,35.91026773703996
citizen,beirut,1920,2,34.16929194933743,35.76814747445463
civil,beirut,1980,3,34.40215623365178,36.141756702406155
class,beirut,1910,3,33.69073953918687,35.79499990165581
classmates,beirut,1910,2,34.4991003,36.07840767649182
clear,beirut,1920,2,33.29688037160232,35.48061139997759
clinical,beirut,1910,4,33.555565053192254,35.854559954391064
